Date,Avg Temperature,Avg Humidity,Avg Wind Speed
2023-01-01,15.0,44.1,93.0
2023-01-02,12.0,43.5,113.0
2023-01-03,7.0,39.4,135.0
2023-01-04,4.0,34.4,130.0
2023-01-05,9.0,40.5,121.0
2023-01-06,5.0,36.6,137.0
2023-01-07,6.0,38.9,141.0
2023-01-08,4.0,35.2,142.0
2023-01-09,4.0,36.4,143.0
2023-01-10,5.0,37.5,141.0
2023-01-11,5.0,33.9,125.0
2023-01-12,7.0,37.9,123.0
2023-01-13,9.0,40.1,121.0
2023-01-14,6.0,34.6,115.0
2023-01-15,7.0,38.0,128.0
2023-01-16,4.0,31.0,120.0
2023-01-17,3.0,28.0,115.0
2023-01-18,1.0,32.0,149.0
2023-01-19,0.0,27.4,137.0
2023-01-20,-2.0,26.1,143.0
2023-01-21,0.0,29.6,150.0
2023-01-22,1.0,32.1,151.0
2023-01-23,1.0,34.0,158.0
2023-01-24,2.0,34.9,154.0
2023-01-25,2.0,33.6,149.0
2023-01-26,1.0,29.9,140.0
2023-01-27,1.0,32.0,154.0
2023-01-28,-1.0,26.6,140.0
2023-01-29,-1.0,25.2,127.0
2023-01-30,1.0,29.2,129.0
2023-01-31,3.0,33.0,130.0
2023-02-01,4.0,33.9,133.0
2023-02-02,3.0,32.0,130.0
2023-02-03,2.0,33.0,144.0
2023-02-04,0.0,25.6,121.0
2023-02-05,-3.0,20.3,126.0
2023-02-06,-3.0,20.0,129.0
2023-02-07,-4.0,19.0,127.0
2023-02-08,-2.0,22.2,127.0
2023-02-09,-1.0,19.6,105.0
2023-02-10,1.0,24.7,113.0
2023-02-11,4.0,33.4,131.0
2023-02-12,6.0,38.9,141.0
2023-02-13,6.0,38.4,142.0
2023-02-14,4.0,32.7,124.0
2023-02-15,1.0,30.1,137.0
2023-02-16,2.0,29.8,130.0
2023-02-17,8.0,39.4,125.0
2023-02-18,8.0,38.1,121.0
2023-02-19,4.0,34.9,135.0
2023-02-20,7.0,35.0,113.0
2023-02-21,9.0,42.7,130.0
2023-02-22,6.0,35.8,127.0
2023-02-23,5.0,35.9,132.0
2023-02-24,7.0,39.7,138.0
2023-02-25,2.0,33.0,140.0
2023-02-26,0.0,27.5,132.0
2023-02-27,0.0,25.4,121.0
2023-02-28,0.0,22.1,107.0
2023-03-01,-1.0,20.7,117.0
2023-03-02,0.0,25.7,126.0
2023-03-03,0.0,30.0,153.0
2023-03-04,3.0,31.9,134.0
2023-03-05,1.0,28.6,134.0
2023-03-06,2.0,30.5,137.0
2023-03-07,4.0,30.9,124.0
2023-03-08,2.0,33.2,146.0
2023-03-09,3.0,36.3,154.0
2023-03-10,10.0,40.7,118.0
2023-03-11,2.0,30.8,130.0
2023-03-12,3.0,25.8,104.0
2023-03-13,10.0,41.4,118.0
2023-03-14,11.0,40.4,109.0
2023-03-15,3.0,28.5,119.0
2023-03-16,2.0,25.1,108.0
2023-03-17,4.0,26.1,99.0
2023-03-18,8.0,27.7,79.0
2023-03-19,9.0,32.9,94.0
2023-03-20,10.0,45.5,136.0
2023-03-21,9.0,44.0,135.0
2023-03-22,12.0,44.1,117.0
2023-03-23,14.0,43.7,100.0
2023-03-24,14.0,46.7,112.0
2023-03-25,10.0,40.3,115.0
2023-03-26,8.0,37.0,114.0
2023-03-27,3.0,29.1,117.0
2023-03-28,1.0,24.0,112.0
2023-03-29,3.0,26.4,106.0
2023-03-30,11.0,42.5,118.0
2023-03-31,10.0,44.1,125.0
2023-04-01,9.0,46.2,147.0
2023-04-02,4.0,35.0,133.0
2023-04-03,2.0,23.6,99.0
2023-04-04,1.0,20.2,96.0
2023-04-05,1.0,26.0,119.0
2023-04-06,2.0,24.7,109.0
2023-04-07,3.0,34.6,141.0
2023-04-08,6.0,36.7,126.0
2023-04-09,7.0,41.1,146.0
2023-04-10,8.0,42.2,137.0
2023-04-11,7.0,40.6,141.0
2023-04-12,7.0,35.7,115.0
2023-04-13,8.0,41.0,134.0
2023-04-14,8.0,45.6,152.0
2023-04-15,11.0,41.6,117.0
2023-04-16,10.0,43.2,132.0
2023-04-17,11.0,44.9,125.0
2023-04-18,10.0,46.8,141.0
2023-04-19,7.0,37.4,126.0
2023-04-20,9.0,41.8,125.0
2023-04-21,12.0,38.2,99.0
2023-04-22,12.0,38.5,95.0
2023-04-23,13.0,45.6,113.0
2023-04-24,13.0,49.4,132.0
2023-04-25,9.0,38.8,114.0
2023-04-26,6.0,32.4,110.0
2023-04-27,6.0,31.9,105.0
2023-04-28,11.0,36.1,97.0
2023-04-29,12.0,47.5,127.0
2023-04-30,10.0,38.1,103.0
