Date,Avg Temperature,Avg Humidity,Avg Wind Speed,Precipitation,Ilość wynajmów,Czas trwania
2023-01-01,15.0,44.1,93.0,0.0,0.0,0.0
2023-01-02,12.0,43.5,113.0,0.0,27.0,28.0
2023-01-03,7.0,39.4,135.0,0.0,25.0,25.0
2023-01-04,4.0,34.4,130.0,1.9,35.0,52.0
2023-01-05,9.0,40.5,121.0,4.3,28.0,2970.0
2023-01-06,5.0,36.6,137.0,0.4,42.0,42.0
2023-01-07,6.0,38.9,141.0,0.0,0.0,0.0
2023-01-08,4.0,35.2,142.0,0.0,0.0,0.0
2023-01-09,4.0,36.4,143.0,1.6,6.0,10.0
2023-01-10,5.0,37.5,141.0,0.0,16.0,52.0
2023-01-11,5.0,33.9,125.0,0.0,2.0,2.0
2023-01-12,7.0,37.9,123.0,3.0,10.0,10.0
2023-01-13,9.0,40.1,121.0,2.6,39.0,42.0
2023-01-14,6.0,34.6,115.0,0.0,0.0,0.0
2023-01-15,7.0,38.0,128.0,3.1,0.0,0.0
2023-01-16,4.0,31.0,120.0,0.0,29.0,145.0
2023-01-17,3.0,28.0,115.0,0.0,56.0,409.0
2023-01-18,1.0,32.0,149.0,0.5,26.0,110.0
2023-01-19,0.0,27.4,137.0,0.0,18.0,39.0
2023-01-20,-2.0,26.1,143.0,0.0,54.0,66.0
2023-01-21,0.0,29.6,150.0,1.0,0.0,0.0
2023-01-22,1.0,32.1,151.0,1.9,0.0,0.0
2023-01-23,1.0,34.0,159.0,1.8,21.0,44.0
2023-01-24,2.0,34.9,154.0,0.0,21.0,97.0
2023-01-25,2.0,33.6,149.0,0.3,70.0,77.0
2023-01-26,1.0,29.9,140.0,0.0,0.0,0.0
2023-01-27,1.0,32.0,154.0,1.0,0.0,0.0
2023-01-28,-1.0,26.6,140.0,0.1,0.0,0.0
2023-01-29,-1.0,25.2,127.0,0.0,0.0,0.0
2023-01-30,1.0,29.2,129.0,0.0,0.0,0.0
2023-01-31,3.0,33.0,130.0,3.0,0.0,0.0
2023-02-01,4.0,33.9,133.0,3.6,8.0,408.0
2023-02-02,3.0,32.0,131.0,1.9,0.0,0.0
2023-02-03,2.0,33.0,144.0,12.9,0.0,0.0
2023-02-04,0.0,25.6,121.0,1.5,0.0,0.0
2023-02-05,-3.0,20.3,126.0,0.0,0.0,0.0
2023-02-06,-3.0,20.0,129.0,0.0,0.0,0.0
2023-02-07,-4.0,19.0,127.0,0.0,0.0,0.0
2023-02-08,-2.0,22.2,127.0,0.0,0.0,0.0
2023-02-09,-1.0,19.6,105.0,0.0,11.0,44.0
2023-02-10,1.0,24.7,113.0,0.0,0.0,0.0
2023-02-11,4.0,33.4,131.0,0.9,0.0,0.0
2023-02-12,6.0,38.9,141.0,0.0,0.0,0.0
2023-02-13,6.0,38.4,142.0,0.7,0.0,0.0
2023-02-14,4.0,32.7,124.0,0.0,0.0,0.0
2023-02-15,1.0,30.1,137.0,0.0,0.0,0.0
2023-02-16,2.0,29.8,130.0,0.0,0.0,0.0
2023-02-17,8.0,39.4,125.0,0.0,0.0,0.0
2023-02-18,8.0,38.1,121.0,1.3,0.0,0.0
