Data wynajmu,Ilość wynajmów,Czas trwania
2023-01-02,27,28
2023-01-03,25,25
2023-01-04,35,52
2023-01-05,28,2970
2023-01-06,42,42
2023-01-09,6,10
2023-01-10,16,52
2023-01-11,2,2
2023-01-12,10,10
2023-01-13,39,42
2023-01-16,29,145
2023-01-17,56,409
2023-01-18,26,110
2023-01-19,18,39
2023-01-20,54,66
2023-01-23,21,44
2023-01-24,21,97
2023-01-25,70,77
2023-02-01,8,408
2023-02-09,11,44
2023-02-20,31,34
2023-02-21,26,29
2023-02-22,33,187
2023-02-23,22,25
2023-02-24,84,87
2023-02-27,10,20
2023-02-28,20,37
2023-03-01,2635,44376
2023-03-02,3010,40804
2023-03-03,2220,28178
2023-03-04,1449,19462
2023-03-05,911,12879
2023-03-06,2307,29422
2023-03-07,2764,33380
2023-03-08,1895,26167
2023-03-09,1981,23775
2023-03-10,3269,60524
2023-03-11,1233,18718
2023-03-12,1854,32375
2023-03-13,3424,176446
2023-03-14,3839,66173
2023-03-15,3420,45190
2023-03-16,3852,54163
2023-03-17,3839,93884
2023-03-18,4152,88712
2023-03-19,4794,121281
2023-03-20,3805,48882
2023-03-21,4224,64723
2023-03-22,5796,105771
2023-03-23,5490,149828
2023-03-24,4578,69470
2023-03-25,3680,63212
2023-03-26,3462,95234
2023-03-27,3064,38251
2023-03-28,2911,35960
2023-03-29,4970,99580
2023-03-30,5773,148572
2023-03-31,4461,75334
2023-04-01,1920,35052
2023-04-02,2366,282176
2023-04-03,4189,69404
2023-04-04,4032,70888
2023-04-05,4096,61826
2023-04-06,4363,286932
2023-04-07,1815,44585
2023-04-08,2507,51672
2023-04-09,978,18690
2023-04-10,4258,119149
2023-04-11,3162,77933
2023-04-12,6961,181084
2023-04-13,3332,59893
2023-04-14,3984,92585
2023-04-15,6545,265745
2023-04-16,7720,232345
2023-04-17,7381,325580
2023-04-18,5805,124332
2023-04-19,5211,251265
2023-04-20,7767,162025
2023-04-21,9646,598312
2023-04-22,11688,509633
2023-04-23,9115,355219
2023-04-24,5835,349771
2023-04-25,7281,130415
2023-04-26,6851,153759
2023-04-27,7508,135668
2023-04-28,8620,314047
2023-04-29,4335,73812
2023-04-30,8508,437423
2023-05-01,9219,713605
2023-05-02,6795,197938
2023-05-03,8663,238864
2023-05-04,8864,183028
2023-05-05,10143,557624
2023-05-06,3411,84720
2023-05-07,4625,89979
2023-05-08,8834,232654
2023-05-09,9946,201748
2023-05-10,10572,333171
2023-05-11,11310,284793
2023-05-12,10517,365103
2023-05-13,10524,449601
2023-05-14,9988,378549
2023-05-15,4724,80568
2023-05-16,7967,115905
2023-05-17,6973,166714
2023-05-18,9495,154277
2023-05-19,7501,256833
2023-05-20,9474,222746
2023-05-21,11585,659349
2023-05-22,11638,617008
2023-05-23,9552,318737
2023-05-24,9428,186897
2023-05-25,10186,344831
2023-05-26,10656,388492
2023-05-27,10387,490245
2023-05-28,10192,474121
2023-05-29,10308,270720
2023-05-30,11368,311117
2023-05-31,11846,365372
2023-06-01,11848,300217
2023-06-02,9652,170152
2023-06-03,10152,255581
2023-06-04,9778,402861
2023-06-05,10696,318705
2023-06-06,10112,454766
2023-06-07,9926,625704
2023-06-08,10025,356917
2023-06-09,5460,253220
2023-06-10,9206,348095
2023-06-11,9659,313936
2023-06-12,10490,210672
2023-06-13,9760,194214
2023-06-14,9099,226479
2023-06-15,10477,270333
2023-06-16,10084,319500
2023-06-17,11126,584074
2023-06-18,10271,366769
2023-06-19,10775,525964
2023-06-20,10342,317133
2023-06-21,10002,459920
2023-06-22,10730,199427
2023-06-23,7928,181476
2023-06-24,8248,244235
2023-06-25,9613,279669
2023-06-26,9998,207713
2023-06-27,8387,247475
2023-06-28,7326,268424
2023-06-29,10917,392690
2023-06-30,7412,389451
2023-07-01,9579,306055
2023-07-02,8858,665676
2023-07-03,10619,387235
2023-07-04,11326,276346
2023-07-05,8667,338572
2023-07-06,10661,267350
2023-07-07,10541,331318
2023-07-08,9738,261516
2023-07-09,8344,206830
2023-07-10,8592,364765
2023-07-11,10260,252970
2023-07-12,9707,186124
2023-07-13,8074,185255
2023-07-14,9504,315877
2023-07-15,8143,194354
2023-07-16,7257,159390
2023-07-17,9337,238783
2023-07-18,9747,295911
2023-07-19,9884,481332
2023-07-20,9036,234608
2023-07-21,8048,229656
2023-07-22,8636,211452
2023-07-23,8091,255115
2023-07-24,8965,339760
2023-07-25,8810,187939
2023-07-26,7043,188557
2023-07-27,8425,192556
2023-07-28,8170,254382
2023-07-29,8345,392305
2023-07-30,6184,138974
2023-07-31,8361,148142
2023-08-01,5665,392101
2023-08-02,8784,198068
2023-08-03,8876,191250
2023-08-04,8833,280742
2023-08-05,2912,200232
2023-08-06,970,16152
2023-08-07,5793,96544
2023-08-08,7396,164995
2023-08-09,6847,136937
2023-08-10,8509,171049
2023-08-11,8612,194861
2023-08-12,8161,206780
2023-08-13,7773,179866
2023-08-14,8137,294962
2023-08-15,7203,174372
2023-08-16,8350,135895
2023-08-17,7764,133630
2023-08-18,7505,153859
2023-08-19,8117,179692
2023-08-20,7481,164016
2023-08-21,8049,139454
2023-08-22,8333,135524
2023-08-23,9718,178466
2023-08-24,9563,157592
2023-08-25,8847,161412
2023-08-26,8365,195367
2023-08-27,5213,89613
2023-08-28,6433,107419
2023-08-29,4332,64517
2023-08-30,6598,93480
2023-08-31,7109,112774
2023-09-01,7862,126394
2023-09-02,7590,171844
2023-09-03,7684,167975
2023-09-04,8359,209768
2023-09-05,9514,156713
2023-09-06,9528,257847
2023-09-07,9403,143650
2023-09-08,9291,301882
2023-09-09,8804,381721
2023-09-10,8283,181359
2023-09-11,8801,139413
2023-09-12,9263,209786
2023-09-13,8545,214621
2023-09-14,6921,196771
2023-09-15,8101,273955
2023-09-16,8240,232148
2023-09-17,7839,270246
2023-09-18,9227,318670
2023-09-19,236263,3371627
2023-09-20,1,43079
2023-09-24,1,96590
2023-09-28,2,199965
2023-10-01,1,30278
2023-10-02,1,56761
2023-10-03,3,94162
2023-10-04,1,27424
2023-10-05,1,69961
2023-10-09,1,50708
2023-10-15,2,12087
2023-10-16,2,51846
2023-10-17,17,64729
2023-10-18,5358,75257
2023-10-19,3186,45151
2023-10-20,3237,52785
2023-10-21,6165,205046
2023-10-22,1725,40541
2023-10-23,5626,82461
2023-10-24,5745,79401
2023-10-25,5085,63321
2023-10-26,4487,94584
2023-10-27,2919,42406
2023-10-28,3220,43525
2023-10-29,140,28386
2023-10-30,5853,95783
2023-10-31,4272,56060
2023-11-01,3125,62722
2023-11-02,4136,143475
2023-11-03,1323,21784
2023-11-04,3132,86417
2023-11-05,2652,54024
2023-11-06,4570,59316
2023-11-07,5109,75599
2023-11-08,4175,133874
2023-11-09,4400,145565
2023-11-10,4358,63305
2023-11-11,2691,61536
2023-11-12,2128,59649
2023-11-13,3983,56829
2023-11-14,4450,61960
2023-11-15,3329,68483
2023-11-16,4150,54033
2023-11-17,3048,38493
2023-11-18,2169,32507
2023-11-19,1357,21643
2023-11-20,1577,22393
2023-11-21,2040,33845
2023-11-22,2255,43296
2023-11-23,2902,45495
2023-11-24,2419,75377
2023-11-25,1616,22817
2023-11-26,1138,18064
2023-11-27,2406,60035
2023-11-28,1282,23430
2023-11-29,1492,67143
2023-11-30,1950,58149
2023-12-01,1407,30056
2023-12-02,482,13322
2023-12-03,348,10655
2023-12-04,704,11957
2023-12-05,875,20329
2023-12-06,908,14001
2023-12-07,910,11653
2023-12-08,988,20149
2023-12-09,762,10676
2023-12-10,677,11512
2023-12-11,1458,30368
2023-12-12,2041,42821
