date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,14.8,11.4,17.9,0,,228,18.6,42.6,1019.2,
2023-01-02,11.4,8.8,14.7,0,,196,12.8,31.5,1019.4,
2023-01-03,6.9,-0.5,11,0,,282,10.1,29.6,1027.6,
2023-01-04,4.7,-1.3,9.7,1.9,,204,17.9,48.2,1021.6,
2023-01-05,9.1,5.8,11.6,4.3,,289,26.1,59.3,1012.1,
2023-01-06,5,0.2,9.2,0.4,,227,12,31.5,1020.8,
2023-01-07,5.8,2.5,11,0,,176,7.1,22.2,1019.4,
2023-01-08,3.7,0.1,9.2,0,,146,9,24.1,1010.6,
2023-01-09,4.3,1.3,7.9,1.6,,190,9.6,25.9,1003.1,
2023-01-10,5.5,4.6,6.7,0,,292,8.3,25.9,1016,
2023-01-11,4.7,-0.9,7.6,0,,188,14.4,31.5,1016.9,
2023-01-12,7.3,3.6,10,3,,225,18.8,38.9,1014.9,
2023-01-13,8.6,5.1,11.1,2.6,,226,17.7,37,1010.8,
2023-01-14,6.3,3.1,9.5,0,,205,18.5,44.5,1015.2,
2023-01-15,6.9,3.2,10.2,3.1,,210,18.6,50,1004.4,
2023-01-16,3.8,1.5,6.9,0,,174,18,35.2,998.7,
2023-01-17,2.9,-2.1,7.2,0,,186,15.8,35.2,989.6,
2023-01-18,1.1,-3.2,2.2,0.5,,337,5,16.7,994.1,
2023-01-19,0.2,-3.9,3.1,0,,294,7,22.2,1006.9,
2023-01-20,-1.5,-5.6,1.7,0,,325,5.6,24.1,1015.9,
2023-01-21,-0.3,-1.4,0.8,1,10,354,11.5,33.3,1020.1,
2023-01-22,1,0.6,1.7,1.9,,56,7.2,20.4,1028.3,
2023-01-23,1.2,0.7,1.8,1.8,20,45,7.2,18.5,1036.6,
2023-01-24,2.3,1.4,3.5,0,,47,7.1,18.5,1038.9,
2023-01-25,2.2,1.2,2.6,0.3,,161,6.2,16.7,1033,
2023-01-26,1.1,0.6,1.5,0,,179,4.6,13,1022,
2023-01-27,0.8,0.4,1.3,1,,16,7.7,18.5,1022.2,
2023-01-28,-0.6,-1.5,0.7,0.1,,349,9.5,20.4,1026.7,
2023-01-29,-0.6,-2.1,1.7,0,,258,15.2,27.8,1025.1,
2023-01-30,1.6,-1.4,4.6,0,,257,24.3,55.5,1009.6,
2023-01-31,3.6,1.6,5,3,,280,24.2,55.5,1013.9,
2023-02-01,3.7,1.5,5.6,3.6,,277,28.1,53.7,1009.9,
2023-02-02,3.2,-2,5,1.9,,300,20.9,57.4,1014.1,
2023-02-03,2.2,-2.3,6.7,12.9,,249,18.6,51.8,1015,
2023-02-04,0.8,-4,4.8,1.5,,337,15.6,51.8,1028.8,
2023-02-05,-2.5,-4.8,-0.4,0,,325,5.9,20.4,1039.1,
2023-02-06,-3.2,-6,-0.3,0,,87,5.9,18.5,1040.9,
2023-02-07,-3.8,-9.6,1.3,0,,337,4,13,1043.2,
2023-02-08,-2.1,-5.6,0.3,0,,137,12.3,29.6,1044.2,
2023-02-09,-0.6,-5.9,5,0,,181,15.3,29.6,1036.3,
2023-02-10,0.9,-4.2,4.1,0,,256,17,33.3,1035,
2023-02-11,3.7,-0.1,6.2,0.9,,266,20.4,46.3,1029.2,
2023-02-12,6.2,5,8.4,0,,302,8.3,22.2,1036.2,
2023-02-13,5.7,4.4,7,0.7,,294,8.9,25.9,1037.2,
2023-02-14,4.3,0.8,5.7,0,,275,8.6,16.7,1036.9,
2023-02-15,1.9,-2.6,8.3,0,,135,9.5,27.8,1030.3,
2023-02-16,2.2,-4.2,8.8,0,,237,7.1,24.1,1024.3,
2023-02-17,7.9,1.1,13.2,0,,238,19.1,55.5,1016.5,
2023-02-18,7.6,5.7,13.3,1.3,,280,24.6,55.5,1013.4,
2023-02-19,4.5,0.8,6.4,6.7,,298,11.9,31.5,1016.9,
2023-02-20,7.1,-0.9,12.8,3.6,,265,22.8,55.5,1016.6,
2023-02-21,9.3,5.6,11.7,1.3,,289,24.3,55.5,1012.8,
2023-02-22,6,2.2,9.2,0,,316,7.7,31.5,1017.9,
2023-02-23,5.1,0.5,11,0.3,,139,14.6,29.6,1014.5,
2023-02-24,6.5,4.2,7.8,6,,272,10.8,25.9,1003.9,
2023-02-25,2.7,0.9,4,2.6,,287,22.1,51.8,998.3,
2023-02-26,0.4,-0.2,2.8,0.5,10,344,9.3,31.5,1015.9,
2023-02-27,0.5,-2.6,2.7,0.4,,3,6.8,20.4,1027.7,
2023-02-28,0.9,-3.3,4.6,0,,30,5.1,16.7,1031.5,
2023-03-01,-0.7,-6.3,6.4,0,,28,4.7,14.8,1029.4,
2023-03-02,0.7,-6.4,8.3,0,,34,5.3,14.8,1024.5,
2023-03-03,-0.1,-1.1,1.3,0,,307,11.9,24.1,1021.7,
2023-03-04,2.7,0,5.4,0,,291,21.6,42.6,1015.8,
2023-03-05,0.9,-0.4,2.6,1.5,,278,12.5,44.5,1011.3,
2023-03-06,1.7,-1.6,5.3,1.5,20,247,11,29.6,1005.1,
2023-03-07,3.5,-1.8,7.1,0.5,10,219,18.5,48.2,999.4,
2023-03-08,2.1,0,5.9,1.3,10,183,8.3,24.1,999,
2023-03-09,3.1,2.6,3.9,4.5,,52,7.3,22.2,996.7,
2023-03-10,9.6,2.9,14.6,6,,213,15.9,37,992.7,
2023-03-11,2.7,-1.2,8.6,4.6,,294,20.4,53.7,999.6,
2023-03-12,2.8,-1.8,6.7,1,,259,18.2,38.9,1012.5,
2023-03-13,9.9,4,13.4,0,,213,20.1,40.8,1005.5,
2023-03-14,10.6,3,13.2,0.7,,217,18,46.3,997.1,
2023-03-15,3.1,0.1,6.4,0.9,,295,13.4,42.6,1014.3,
2023-03-16,2.6,-2.2,8.4,0,,260,9.8,24.1,1023.4,
2023-03-17,4.6,-2.1,12.2,0,,137,19.7,38.9,1020,
2023-03-18,8.5,2.8,15.4,0,,170,14,29.6,1015.9,
2023-03-19,8.9,0.9,17,0,,116,6.3,20.4,1016.3,
2023-03-20,10.2,7.5,16.4,0.5,,281,9.6,29.6,1017,
2023-03-21,9.2,7.3,11.2,1.5,,270,6.7,18.5,1016.9,
2023-03-22,12,7.5,17.5,0,,193,8.2,25.9,1012.1,
2023-03-23,13.9,6.9,18,0,,229,14.3,38.9,1009.1,
2023-03-24,13.8,9.4,18.1,0.6,,224,14.9,37,1006.1,
2023-03-25,9.6,5.4,14.8,0.5,,245,15.6,42.6,1005.7,
2023-03-26,9.1,6.5,12.5,0.5,,261,16,42.6,1004.2,
2023-03-27,4,0.5,6.9,2.4,,318,11.7,42.6,1008.6,
2023-03-28,1.4,-2.2,4.4,0.9,,298,17.3,50,1019.6,
2023-03-29,3.9,-5,11.6,0,,202,12.5,33.3,1020.8,
2023-03-30,10.7,5.5,15.5,0,,209,15.9,37,1010.8,
2023-03-31,10.3,5.7,15.6,0,,227,15,35.2,1003.2,
2023-04-01,9.5,8,11.5,10.1,,294,12.3,35.2,1000.6,
2023-04-02,4.7,2.9,7.8,4.3,,4,12.2,31.5,1016.1,
2023-04-03,2.7,-0.6,5.6,0,,7,14.4,35.2,1027.6,
2023-04-04,1.1,-1.1,3.3,0,,351,8.9,27.8,1027.2,
2023-04-05,1.4,-3,6,0.2,,267,6.3,20.4,1023,
2023-04-06,2.6,-5,8.1,0,,353,7.2,25.9,1021.7,
2023-04-07,3.8,2.6,5.1,8.8,,326,8,20.4,1018.6,
2023-04-08,6.6,4.2,10.7,0.3,,40,9.9,27.8,1022.7,
2023-04-09,6.8,5.4,7.9,1.1,,303,6.2,18.5,1025.9,
2023-04-10,8.2,2.2,14.2,0,,137,7.4,20.4,1024.9,
2023-04-11,7,4,12.1,5.7,,195,13.9,27.8,1013.2,
2023-04-12,7.5,0,14.1,3.8,,210,12.6,31.5,1009.4,
2023-04-13,7.7,5,10.9,0,,262,9.6,24.1,1006.1,
2023-04-14,8.6,6.6,11.5,1.2,,316,6.6,20.4,1005.6,
2023-04-15,10.9,7.5,14.2,2,,101,12.8,27.8,1006.9,
2023-04-16,9.5,3.6,16,0,,324,7.1,18.5,1016.9,
2023-04-17,11.6,8,15.5,1.7,,15,10.8,29.6,1021.6,
2023-04-18,10.7,8.7,13.5,2.6,,19,11.3,29.6,1024.2,
2023-04-19,6.9,4.7,11.5,2.1,,346,10.5,25.9,1021,
2023-04-20,9.8,4.9,16,2.8,,40,8.6,27.8,1020.3,
2023-04-21,12.7,3.5,19.6,0,,58,9.4,25.9,1018.2,
2023-04-22,12.4,2.4,20.1,0,,139,8.3,25.9,1014.6,
2023-04-23,13.6,5.7,20.8,0.2,,171,13.1,29.6,1009.8,
2023-04-24,12.9,10.6,15.9,13.7,,206,9.8,24.1,1005.5,
2023-04-25,9.5,4.7,12.7,0,,294,13.7,33.3,1008.5,
2023-04-26,5.8,2.2,9.3,0.1,,288,15.5,38.9,1015.7,
2023-04-27,6.8,1.9,11.1,0.4,,290,8.3,25.9,1020.6,
2023-04-28,11.2,2.3,18.1,0,,144,12,33.3,1017.9,
2023-04-29,12.6,8.5,16.8,14.3,,235,12,27.8,1013.2,
2023-04-30,11.2,6.9,15.4,0.5,,323,9,24.1,1021,
2023-05-01,11.5,0,19.4,0,,129,13.1,37,1018.8,
2023-05-02,14.1,9,18.1,0,,295,9.6,25.9,1018.2,
2023-05-03,11.3,6.7,14.7,0,,354,8.5,22.2,1026.9,
2023-05-04,11.1,2.2,18,0,,201,6.8,20.4,1025,
2023-05-05,14.5,6.6,20.9,0,,112,12.1,29.6,1020.4,
2023-05-06,10.5,8.5,12.9,5.8,,69,12.9,29.6,1018.2,
2023-05-07,8.8,7.7,10.1,0,,68,15,29.6,1024.4,
2023-05-08,9.4,3.1,14.8,0,,103,17.9,35.2,1028.9,
2023-05-09,11.4,3.9,17.6,0,,118,20.9,46.3,1023.7,
2023-05-10,14,5.8,20.2,0,,136,21.6,46.3,1016.1,
2023-05-11,16.4,10.9,21.2,0,,103,13,31.5,1017.2,
2023-05-12,16.1,10,21.3,0,,90,17.6,37,1018.9,
2023-05-13,13.7,7,19.8,0,,101,12.3,33.3,1021.8,
2023-05-14,14.1,5.8,20.3,0,,146,8.4,27.8,1018.4,
2023-05-15,13,10.7,14.9,14,,291,10.4,29.6,1008.4,
2023-05-16,12.3,8.5,16.5,1.5,,297,9.6,24.1,1013.1,
2023-05-17,10.6,8.5,12.7,4.7,,323,8.3,27.8,1020.5,
2023-05-18,11.6,6.5,16.4,0,,24,10.9,24.1,1026.4,
2023-05-19,11.6,9.1,13.5,0.3,,75,11.4,29.6,1027,
2023-05-20,14.7,11.8,19.4,0,,82,12.9,31.5,1024.8,
2023-05-21,19.8,10.6,26.1,0,,84,14.9,37,1019.6,
2023-05-22,19.2,12.5,23.9,0,,102,13.7,31.5,1016.9,
2023-05-23,16.5,12,21.3,6.2,,159,9,22.2,1012.8,
2023-05-24,13.1,9.8,16.7,0.6,,312,12.2,31.5,1019,
2023-05-25,13.5,6.8,19.9,0,,299,6.9,20.4,1023.7,
2023-05-26,15.6,9.6,20.9,0,,318,8,25.9,1024.5,
2023-05-27,14.2,6.7,19.7,0,,9,7.6,22.2,1026.1,
2023-05-28,15,5.9,21.3,0,,40,7.4,22.2,1021,
2023-05-29,16.9,6.9,23.5,0,,347,7.7,22.2,1019.4,
2023-05-30,16.8,10.9,21.3,0,,349,8.9,24.1,1022.1,
2023-05-31,16.9,7.5,24.3,0,,287,5.7,18.5,1022.8,
2023-06-01,18.6,8.1,26,0,,293,10.5,31.5,1016,
2023-06-02,15.3,10.9,18.3,0,,356,10.2,31.5,1017.5,
2023-06-03,14,7.3,19.1,0,,69,10.8,29.6,1023,
2023-06-04,15.7,5,23.3,0,,68,7.4,25.9,1021.5,
2023-06-05,18.4,7.5,25.5,0,,87,9,27.8,1020.6,
2023-06-06,20.3,15.8,25.8,1.1,,29,7.8,22.2,1018.1,
